State,City,Date Sown,Brand,Variety,Date of Cut,Julian Day,Plant Lodge,Plant Height,Yield % or Vernal,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Harvested in Sown Year,First Date of Season,Percent Cover (%),Total Solar Radiation (W/m^2),Total precipitation (mm),Avg Min Temp (C),Avg Max Temp (C),Class,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
NY,Ithaca,5/10/02,,Vernal (check),7/28/05,,,,,1.51,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,54H46,7/28/05,,,,,1.85,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,NY0131,7/28/05,,,,,1.72,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,DS 108 HYB,7/28/05,,,,,1.96,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,DS106 HYB,7/28/05,,,,,1.9,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,DS107 HYB,7/28/05,,,,,1.72,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,3M49,7/28/05,,,,,1.69,,,0,0,,358003.82,3721.11,2.8057,13.7932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Seedway 9558,9/7/05,,,,,0.73,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,HYTEST 410,9/7/05,,,,,0.84,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Paragon BR,9/7/05,,,,,0.87,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,4A421,9/7/05,,,,,0.86,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,WL 319HQ,9/7/05,,,,,0.79,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Tribute,9/7/05,,,,,0.84,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Paramount II,9/7/05,,,,,0.79,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,AmeriStand 403T,9/7/05,,,,,0.75,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,5312 (check),9/7/05,,,,,0.75,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Reward II,9/7/05,,,,,0.79,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Hybri-Force 400,9/7/05,,,,,0.82,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Oneida Ultra,9/7/05,,,,,0.69,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Baralfa 53 HR,9/7/05,,,,,0.77,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Feast +EV,9/7/05,,,,,0.67,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Oneida VR (check),9/7/05,,,,,0.67,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,Vernal (check),9/7/05,,,,,0.64,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,54H46,9/7/05,,,,,0.81,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,NY0131,9/7/05,,,,,0.72,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,DS 108 HYB,9/7/05,,,,,0.85,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,DS106 HYB,9/7/05,,,,,0.84,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,DS107 HYB,9/7/05,,,,,0.78,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,5/10/02,,3M49,9/7/05,,,,,0.64,,,0,0,,373381,3837.77,3.1904,14.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,HYTEST 410,5/19/05,,,,,1.57,,,0,1,,348407.31,3980.27,1.5414,13.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Paramount II,5/19/05,,,,,1.35,,,0,1,,348407.31,3980.27,1.5414,13.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,WL 327,5/19/05,,,,,1.19,,,0,1,,348407.31,3980.27,1.5414,13.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Hybri-Force 400,5/19/05,,,,,1.26,,,0,1,,348407.31,3980.27,1.5414,13.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Seedway 9558,5/19/05,,,,,1.2,,,0,1,,348407.31,3980.27,1.5414,13.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Oneida Ultra,5/19/05,,,,,0.93,,,0,1,,348407.31,3980.27,1.5414,13.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Oneida VR (check),5/19/05,,,,,1.07,,,0,1,,348407.31,3980.27,1.5414,13.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,5312 (check),5/19/05,,,,,1.16,,,0,1,,348407.31,3980.27,1.5414,13.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Feast +EV,5/19/05,,,,,0.92,,,0,1,,348407.31,3980.27,1.5414,13.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Vernal (check),5/19/05,,,,,0.99,,,0,1,,348407.31,3980.27,1.5414,13.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,NY0131,5/19/05,,,,,1.12,,,0,1,,348407.31,3980.27,1.5414,13.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,3M49,5/19/05,,,,,1.3,,,0,1,,348407.31,3980.27,1.5414,13.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,HYTEST 410,6/23/05,,,,,1.54,,,0,0,,361326.06,4070.12,1.832,13.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Paramount II,6/23/05,,,,,1.47,,,0,0,,361326.06,4070.12,1.832,13.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,WL 327,6/23/05,,,,,1.35,,,0,0,,361326.06,4070.12,1.832,13.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Hybri-Force 400,6/23/05,,,,,1.28,,,0,0,,361326.06,4070.12,1.832,13.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Seedway 9558,6/23/05,,,,,1.31,,,0,0,,361326.06,4070.12,1.832,13.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Oneida Ultra,6/23/05,,,,,1.22,,,0,0,,361326.06,4070.12,1.832,13.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Oneida VR (check),6/23/05,,,,,1.2,,,0,0,,361326.06,4070.12,1.832,13.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,5312 (check),6/23/05,,,,,1.26,,,0,0,,361326.06,4070.12,1.832,13.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Feast +EV,6/23/05,,,,,1.24,,,0,0,,361326.06,4070.12,1.832,13.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Vernal (check),6/23/05,,,,,1.16,,,0,0,,361326.06,4070.12,1.832,13.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,NY0131,6/23/05,,,,,1.31,,,0,0,,361326.06,4070.12,1.832,13.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,3M49,6/23/05,,,,,1.37,,,0,0,,361326.06,4070.12,1.832,13.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,HYTEST 410,7/26/05,,,,,1.58,,,0,0,,373548.92,4196.37,2.2246,13.8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Paramount II,7/26/05,,,,,1.53,,,0,0,,373548.92,4196.37,2.2246,13.8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,WL 327,7/26/05,,,,,1.48,,,0,0,,373548.92,4196.37,2.2246,13.8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Hybri-Force 400,7/26/05,,,,,1.37,,,0,0,,373548.92,4196.37,2.2246,13.8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Seedway 9558,7/26/05,,,,,1.36,,,0,0,,373548.92,4196.37,2.2246,13.8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Oneida Ultra,7/26/05,,,,,1.31,,,0,0,,373548.92,4196.37,2.2246,13.8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Oneida VR (check),7/26/05,,,,,1.28,,,0,0,,373548.92,4196.37,2.2246,13.8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,5312 (check),7/26/05,,,,,1.29,,,0,0,,373548.92,4196.37,2.2246,13.8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Feast +EV,7/26/05,,,,,1.29,,,0,0,,373548.92,4196.37,2.2246,13.8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Vernal (check),7/26/05,,,,,1.29,,,0,0,,373548.92,4196.37,2.2246,13.8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,NY0131,7/26/05,,,,,1.4,,,0,0,,373548.92,4196.37,2.2246,13.8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,3M49,7/26/05,,,,,1.5,,,0,0,,373548.92,4196.37,2.2246,13.8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,HYTEST 410,9/8/05,,,,,0.86,,,0,0,,389742.63,4309.98,2.6606,14.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Paramount II,9/8/05,,,,,0.83,,,0,0,,389742.63,4309.98,2.6606,14.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,WL 327,9/8/05,,,,,0.85,,,0,0,,389742.63,4309.98,2.6606,14.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Hybri-Force 400,9/8/05,,,,,0.75,,,0,0,,389742.63,4309.98,2.6606,14.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Seedway 9558,9/8/05,,,,,0.73,,,0,0,,389742.63,4309.98,2.6606,14.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Oneida Ultra,9/8/05,,,,,0.76,,,0,0,,389742.63,4309.98,2.6606,14.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Oneida VR (check),9/8/05,,,,,0.7,,,0,0,,389742.63,4309.98,2.6606,14.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,5312 (check),9/8/05,,,,,0.66,,,0,0,,389742.63,4309.98,2.6606,14.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Feast +EV,9/8/05,,,,,0.65,,,0,0,,389742.63,4309.98,2.6606,14.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,Vernal (check),9/8/05,,,,,0.59,,,0,0,,389742.63,4309.98,2.6606,14.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,NY0131,9/8/05,,,,,0.79,,,0,0,,389742.63,4309.98,2.6606,14.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Cobleskill,4/24/02,,3M49,9/8/05,,,,,0.67,,,0,0,,389742.63,4309.98,2.6606,14.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,6415,6/3/05,,,,,1.63,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,4A421,6/3/05,,,,,1.59,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,54V46,6/3/05,,,,,1.5,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,DKA33-16,6/3/05,,,,,1.56,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,FSG 505,6/3/05,,,,,1.44,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,420,6/3/05,,,,,1.52,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,Evermore,6/3/05,,,,,1.42,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,FSG 351,6/3/05,,,,,1.42,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,FSG 406,6/3/05,,,,,1.54,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,4375LH,6/3/05,,,,,1.47,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,HybriForce-420/Wet,6/3/05,,,,,1.38,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,54Q25,6/3/05,,,,,1.44,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,Dakota,6/3/05,,,,,1.34,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,WL 346LH,6/3/05,,,,,1.42,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,Oneida VR (check),6/3/05,,,,,1.41,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ithaca,4/29/03,,Oneida Ultra,6/3/05,,,,,1.34,,,0,1,,230454.95,2535.38,2.449,13.3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
