Yield (tons/acre),radiation,rain,avg_min_temp,avg_max_temp,City,Year
1.64,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.36,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.4,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.34,230454.95,2535.38,2.449,13.3067,Ithaca,6/3/05
1.63,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.69,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.67,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.69,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.7,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.64,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.64,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.65,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.61,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.64,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.68,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.58,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.65,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.6,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.59,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.63,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.57,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.61,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.58,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.58,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.52,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.53,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.77,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.68,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.55,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
1.63,245580.42,2668.91,3.0847,14.0109,Ithaca,7/14/05
0.7,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.64,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.65,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.65,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.71,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.64,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.65,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.64,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.67,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.55,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.66,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.62,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.69,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.59,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.55,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.59,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.65,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.56,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.54,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.57,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.49,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.44,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.74,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.67,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.58,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
0.65,262881.28,2719.27,3.7066,14.7705,Ithaca,8/27/05
2.14,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.15,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.13,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.09,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.09,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.12,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.12,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.05,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.08,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.05,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.1,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.11,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.02,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
1.95,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
1.97,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
1.95,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
1.69,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.15,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.07,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.01,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.07,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
1.87,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
1.9,118368.72,1340.7,2.6534,13.6072,Ithaca,6/7/05
2.2,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.1,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.19,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.19,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.22,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.14,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.17,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.15,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.19,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.16,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.15,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.11,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.19,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.13,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.06,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.02,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
1.96,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.22,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.17,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.17,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.21,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.11,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
2.03,131918.12,1465.81,3.7234,14.7728,Ithaca,7/14/05
1.22,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.26,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.15,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.2,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.13,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.15,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.14,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.17,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.12,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.14,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.07,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.07,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.1,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.1,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.1,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.0,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
0.96,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.22,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.22,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.27,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.14,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
1.09,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
0.96,148923.23,1512.65,4.7696,16.05,Ithaca,8/26/05
0.92,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.85,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.82,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.82,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.81,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.81,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.8,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.78,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.77,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.76,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.76,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.76,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.76,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.75,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.73,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.68,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.68,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.62,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.56,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.92,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.82,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.82,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.81,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.8,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.8,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.76,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.75,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.73,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.71,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.71,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
0.69,48010.95,301.99,12.4369,25.5838,Ithaca,9/6/05
1.92,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.84,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.79,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.81,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.75,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.83,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.76,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.73,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.87,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.76,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.71,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.74,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.77,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.88,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.8,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.72,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.68,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.7,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.72,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.65,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.55,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.81,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.92,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.81,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.75,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.75,342240.91,3627.92,2.8466,13.7915,Ithaca,6/14/06
1.55,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.56,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.52,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.51,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.53,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.52,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.58,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.54,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.52,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.49,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.51,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.49,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.45,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.5,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.47,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.43,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.4,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.45,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.47,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.41,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.48,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.34,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.67,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.6,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.43,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
1.53,358007.83,3900.34,3.2722,14.2502,Ithaca,7/26/06
0.62,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.75,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.62,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.66,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.69,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.69,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.75,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.7,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.67,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.72,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.74,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.66,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.64,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.69,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.68,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.63,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.58,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.65,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.66,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.61,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.59,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.56,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.78,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.74,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.61,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
0.73,374088.14,4151.26,3.6588,14.6224,Ithaca,9/12/06
2.78,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.65,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.71,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.6,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.65,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.58,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.61,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.55,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.67,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.45,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.49,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.5,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.57,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.44,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.52,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.52,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.34,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.65,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.68,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.46,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.63,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.41,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.51,226066.03,2411.72,3.0283,14.0719,Ithaca,6/7/06
2.31,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
2.04,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
2.07,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
2.24,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
2.1,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
1.95,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
2.01,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
2.19,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
1.79,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
2.01,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
1.75,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
1.86,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
1.64,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
1.62,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
1.57,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
1.53,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
1.03,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
2.13,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
2.25,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
2.13,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
1.8,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
1.85,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
1.83,242194.1,2658.65,3.611,14.6821,Ithaca,7/20/06
1.14,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
1.09,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
1.06,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
0.99,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
0.98,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
1.12,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
1.06,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
0.94,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
1.07,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
0.95,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
1.01,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
0.9,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
0.94,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
0.99,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
0.97,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
0.89,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
0.69,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
1.15,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
1.08,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
1.11,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
1.1,258549.37,2941.05,4.2071,15.2436,Ithaca,9/7/06
